№,Фільм,Оригінальна назва,Рік,Рейтинг,Режисер
211,Хатіко: Вірний друг,Hachiko: A Dog's Story,2009,"8,1",Лассе Хальстрем
212,Плата за страх,Le salaire de la peur,1953,"8,1",Анрі-Жорж Клузо
213,Бен-Гур,Ben-Hur,1959,"8,1",Вільям Вайлер
214,Життя Браяна за Монті Пайтон (Буття Браяна за Монті Пайтоном),Life of Brian,1979,"8,1",Террі Джонс
215,Взвод,Platoon,1986,"8,1",Олівер Стоун
216,Спілка мертвих поетів (Товариство мертвих поетів),Dead Poets Society,1989,"8,1",Пітер Вір
217,Гонка,Rush,2013,"8,0",Рон Говард
218,Гаррі Поттер і Смертельні реліквії: Частина 2,Harry Potter and the Deathly Hallows: Part 2,2011,"8,0",Девід Йєтс
219,Лоґан: Росомаха,Logan,2017,"8,0",Джеймс Менголд
220,Страсті Жанни д'Арк,La passion de Jeanne d'Arc,1928,"8,0",Карл Теодор Дреєр
221,Андрій Рубльов,Андрей Рублёв,1966,"8,0",Андрій Тарковський
222,Чотириста ударів,Les quatre cents coups,1959,"8,0",Франсуа Трюффо
223,Готель «Руанда»,Hotel Rwanda,2004,"8,0",Террі Джордж
224,Служниця,아가씨,2016,"8,0",Пак Чхан Ук
225,Сука-любов,Amores perros,2000,"8,0",Алехандро Гонсалес Іньярріту
226,У центрі уваги,Spotlight,2015,"8,0",Том Мак-Карті
227,Колір шафрану (Колір повстання),ਰੰਗ ਦੇ ਬਸੰਤੀ/Rang De Basanti,2006,"8,0",Ракеш Омпракаш Мехра
228,Навсікая з Долини Вітрів,風の谷のナウシカ,1984,"8,0",Міядзакі Хаяо
229,Роккі,Rocky,1976,"8,0",Джон Евілдсен
230,Ненависть,La haine,1995,"8,0",Матьє Кассовіц
231,Ребекка,Rebecca,1940,"8,0",Альфред Гічкок
232,Корпорація монстрів,"Monsters, Inc.",2001,"8,0","Піт Доктер, Девід Сільверман, Лі Анкрич"
233,Банди Вассейпура (Банди Васейпура),Gangs of वासेपुर,2012,"8,0",Анураґ Каш'яп
234,Портрет дівчини у вогні,Portrait de la jeune fille en feu,2019,"8,0",Селін Ск'ямма
235,Цирк,The Circus,1928,"8,0",Чарлі Чаплін
236,Це сталося якось вночі,It Happened One Night,1934,"8,0",Френк Капра
237,Любовний настрій,花样 年华/In the Mood for Love,2000,"8,0",Вонг Карвай
238,Перед заходом сонця,Before sunset,2004,"8,0",Річард Лінклейтер
239,"Париж, Техас","Paris, Texas",1984,"8,0",Вім Вендерс
240,Видимість,दृश्यम् (Drishyam),2015,"8,0",Нішикант Камат
241,Прислуга,The Help,2011,"8,0",Тейт Тейлор
242,Принцеса-наречена,The Princess Bride,1987,"8,0",Роб Райнер
243,Невидимий гість,Contratiempo,2016,"8,0",Оріол Пауло
244,Термінатор,The Terminator,1984,"8,0",Джеймс Камерон
245,Фанні та Александер,Fanny och Alexander,2014,"8,0",Інгмар Бергман
246,Кінець Євангеліону,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に / The End of Evangelion,1977,"8,0","Хідеакі Анно, Кадзуя Цурумакі"
247,Аладдін,Aladdin,1992,"8,0","Рон Клементс, Джон Маскер"
248,ПіКей,पीके / PK,2014,"8,0",Раджкумар Хірані
249,Повернення на Батьківщину,"स्वदेस / Swades: We, the People",2004,"8,0",Ашутош Говарікер
250,"Уперед, Індіє!",चक दे! इंडिया / Chak De! India,2007,"8,0",Шиміт Амін
